subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grlsOFX17FUU,2012-09,Neutered Male,2011-08,Enrolled Deceased,2011-02,,,2021-08,0.0,light golden
grls3SN3WPJJ,2012-10,Intact Male,,Enrolled Deceased,2011-04,,,2024-05,1.0,medium golden
grls3XQD0E33,2012-10,Intact Male,,Withdrawn,2010-12,2024-06,,,0.0,light golden
grlsJ4RY5O33,2012-11,Spayed Female,2011-08,Enrolled Deceased,2011-03,,,2023-12,1.0,light golden
grlsGQEN0GEE,2012-10,Spayed Female,2012-11,Enrolled Deceased,2011-04,,,2020-02,0.0,red
grlsLM4J9PII,2012-10,Spayed Female,,Enrolled Deceased,2011-05,,,2024-09,1.0,light golden
grlsEFAHDC99,2012-10,Intact Female,,Inactive,2010-07,,2019-05,,0.0,red
grlsPX57555,2012-09,Spayed Female,2011-10,Enrolled Deceased,2011-04,,,2022-03,1.0,medium golden
grls0IBIS0GG,2012-09,Spayed Female,2012-02,Enrolled Deceased,2011-04,,,2023-12,1.0,light golden
grlsO3BDIVWW,2012-11,Spayed Female,2018-04,Enrolled Deceased,2010-04,,,2022-01,0.0,medium golden
grls6F8ZXEE,2012-10,Intact Male,,Enrolled Deceased,2011-06,,,2023-01,0.0,medium golden
grls2S3J1K66,2013-03,Spayed Female,2015-11,Enrolled Deceased,2010-05,,,2022-12,1.0,blonde
grlsRVOJXM00,2012-10,Neutered Male,2011-10,Enrolled Deceased,2010-04,,,2019-11,1.0,blonde
grlsUZ00ZR66,2012-12,Neutered Male,2012-10,Enrolled Deceased,2011-08,,,2016-02,1.0,light golden
grlsQDPXP9,2012-10,Spayed Female,2013-10,Enrolled Deceased,2010-05,,,2021-12,1.0,light golden
grlsRZT87U00,2013-03,Spayed Female,2018-07,Enrolled,2011-04,,,,0.0,blonde
grlsCZ69ZOUU,2012-09,Intact Male,,Enrolled,2011-04,,,,0.0,blonde
grlsYLUNOS33,2012-10,Spayed Female,2012-02,Enrolled,2011-09,,,,0.0,medium golden
grlsZ03WC1OO,2012-10,Neutered Male,2012-02,Enrolled Deceased,2011-09,,,2024-12,1.0,light golden
grls3EXUCLEE,2012-10,Intact Male,,Enrolled Deceased,2011-08,,,2019-04,1.0,red
grlsFY9FEAWW,2012-10,Spayed Female,2017-12,Enrolled,2011-07,,,,0.0,light golden
grlsKOFQ3044,2012-11,Neutered Male,2012-02,Enrolled Deceased,2011-04,,,2020-06,0.0,red
grlsHSZ4NWKK,2012-12,Spayed Female,2010-08,Inactive,2010-04,,2017-06,,0.0,light golden
grlsWNOL0UZZ,2012-11,Spayed Female,2010-10,Enrolled Deceased,2010-05,,,2021-09,1.0,blonde
grlsOBKQCCRR,2012-12,Spayed Female,2012-03,Enrolled Deceased,2011-09,,,2022-09,1.0,light golden
grlsRDDQEK44,2012-10,Neutered Male,2010-10,Enrolled Deceased,2010-02,,,2023-11,0.0,light golden
grlsZIPRWGMM,2012-10,Intact Female,,Enrolled Deceased,2011-04,,,2019-09,1.0,light golden
grlsOPAIDMM,2012-09,Spayed Female,2018-02,Enrolled Deceased,2010-03,,,2019-01,0.0,medium golden
grls4Q4L3EDD,2012-09,Neutered Male,2010-09,Enrolled Deceased,2010-04,,,2020-08,1.0,light golden
grlsRWG7533,2012-09,Spayed Female,2012-04,Enrolled Deceased,2011-11,,,2021-12,1.0,light golden
grlsKSPNFT22,2012-09,Neutered Male,2011-06,Enrolled Deceased,2010-10,,,2021-08,1.0,blonde
grlsW5PNQ9CC,2012-10,Spayed Female,2016-01,Enrolled Deceased,2010-05,,,2021-01,0.0,light golden
grlsQRT1O6VV,2012-09,Neutered Male,2011-12,Enrolled,2011-05,,,,0.0,blonde
grlsIX3S9766,2012-10,Spayed Female,2013-04,Enrolled Deceased,2012-02,,,2024-11,1.0,light golden
grlsZKDZ9N00,2012-09,Spayed Female,2011-02,Enrolled,2010-08,,,,0.0,light golden
grlsGI26RS66,2012-10,Neutered Male,2010-10,Enrolled Deceased,2010-05,,,2021-11,1.0,blonde
grlsG2JULRR,2012-09,Spayed Female,2017-10,Enrolled,2010-08,,,,0.0,light golden
grlsLFOHPMNN,2012-09,Spayed Female,2011-02,Enrolled Deceased,2010-07,,,2021-09,1.0,medium golden
grlsTK9649UU,2012-10,Spayed Female,2011-11,Enrolled Deceased,2011-04,,,2020-03,0.0,light golden
grlsT71DHLKK,2012-10,Spayed Female,2012-03,Enrolled Deceased,2011-01,,,2023-07,1.0,light golden
grls4WD6UGG,2012-10,Neutered Male,2012-02,Enrolled Deceased,2011-04,,,2022-11,1.0,light golden
grlsMRYUH,2012-10,Spayed Female,2011-12,Withdrawn,2011-03,2018-10,,,0.0,medium golden
grlsMPFEO811,2012-09,Neutered Male,2012-05,Inactive,2011-02,,2015-10,,0.0,dark golden
grlsZJRGT144,2012-10,Intact Male,,Enrolled Deceased,2011-02,,,2020-12,1.0,medium golden
grlsYOQLXM44,2012-10,Spayed Female,2017-10,Enrolled Deceased,2011-02,,,2021-06,1.0,dark golden
grlsXC5ZPDXX,2012-10,Intact Male,,Enrolled,2011-08,,,,0.0,dark golden
grlsTLXIJNOO,2012-10,Neutered Male,2012-10,Enrolled Deceased,2011-09,,,2022-12,0.0,light golden
grlsATVT2KUU,2012-10,Spayed Female,2011-12,Enrolled,2011-05,,,,0.0,light golden
