subject_id,year_in_study,record_date,sleep_location,specific_sleep_location,bed_filling,bed_filling_specify,foam_bed,furniture_finish,furniture_finish_specify,floor_finish,floor_finish_specify,crate_material,crate_material_specify,bedding_material,bedding_material_specify,dog_bed_filling,dog_bed_filling_specify,dog_house_bedding,dog_house_bedding_specify,dog_house_material,dog_house_material_specify,dog_bed_foam,natural_surface,natural_surface_specify
grls007MPNZZ,0,2014-05,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,1,2015-05,Outside,Natural outdoor surface,,,,,,,,,,,,,,,,,,,Other,Deck
grls007MPNZZ,1,2015-05,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Other,Pad,,,,,,,,,
grls007MPNZZ,2,2016-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,3,2017-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,4,2018-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,5,2019-05,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls007MPNZZ,5,2019-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,6,2020-06,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls007MPNZZ,6,2020-06,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls007MPNZZ,6,2020-06,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,7,2021-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls007MPNZZ,7,2021-05,Outside,Natural outdoor surface,,,,,,,,,,,,,,,,,,,Other,Wood
grls00NB23WW,0,2014-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls00NB23WW,1,2015-01,In the house,On the floor,,,,,,Laminate,,,,,,,,,,,,,,
grls00NB23WW,2,2016-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01C2L8RR,0,2014-08,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls01C2L8RR,1,2015-08,In the house,Confined to a crate/kennel,,,,,,,,Metal,,None,,,,,,,,,,
grls01C2L8RR,1,2015-08,In the house,Confined to a crate/kennel,,,,,,,,Plastic,,None,,,,,,,,,,
grls01C2L8RR,2,2016-08,In the house,On the floor,,,,,,Other,"Hardwood, Rug",,,,,,,,,,,,,
grls01C2L8RR,2,2016-08,In the house,Confined to a crate/kennel,,,,,,,,Plastic,,Other,Plastic,,,,,,,,,
grls01C2L8RR,3,2017-07,In the house,Confined to a crate/kennel,,,,,,,,Plastic,,None,,,,,,,,,,
grls01C2L8RR,4,2018-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01C2L8RR,4,2018-08,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls01C2L8RR,4,2018-08,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01C2L8RR,4,2018-08,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01C2L8RR,5,2019-07,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01C2L8RR,5,2019-07,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01C2L8RR,5,2019-07,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01C2L8RR,5,2019-07,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls01C2L8RR,5,2019-07,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
