subject_id,year_in_study,record_date,spent_most_time_day,indoor_crate_flooring,indoor_carpet_flooring,indoor_hardwood_flooring,indoor_cement_flooring,indoor_tile_flooring,indoor_linoleum_flooring,indoor_laminate_flooring,indoor_furniture_flooring,indoor_other_flooring,indoor_other_flooring_specify,day_outdoor_garage,day_outdoor_kennel,day_outdoor_fenced,day_outdoor_chain_or_lead,day_outdoor_other_percentage,day_outdoor_other_percentage_specify,day_outdoor_total_percentage,furniture_type_wood,furniture_type_leather,furniture_type_upholstered,furniture_type_other,furniture_type_other_specify
grls007MPNZZ,0,2014-05,Both,0,1,1,0,1,0,1,0,0,,0.0,0.0,95.0,0.0,5.0,walks,100.0,0,0,0,0,
grls007MPNZZ,1,2015-05,Both,1,1,1,0,1,0,0,0,0,,20.0,0.0,80.0,0.0,0.0,,100.0,0,0,0,0,
grls007MPNZZ,2,2016-05,Both,0,1,1,0,1,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls007MPNZZ,3,2017-05,Both,0,1,1,0,0,0,0,1,1,slate,0.0,0.0,80.0,0.0,20.0,walks,100.0,0,1,0,0,
grls007MPNZZ,4,2018-05,Both,0,1,1,0,1,0,0,0,1,slate,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls007MPNZZ,5,2019-05,Both,0,1,1,0,1,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls007MPNZZ,6,2020-06,Both,0,0,1,0,0,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls00NB23WW,0,2014-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls00NB23WW,1,2015-01,Indoors,0,0,0,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grls00NB23WW,2,2016-01,Indoors,0,0,0,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grls01C2L8RR,0,2014-08,Indoors,1,1,1,0,0,0,1,1,1,laminate,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01C2L8RR,1,2015-08,Indoors,1,0,0,0,0,0,0,1,1,"hardwood, rug",0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls01C2L8RR,2,2016-08,Indoors,1,0,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls01C2L8RR,3,2017-07,Indoors,1,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01C2L8RR,4,2018-08,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls01C2L8RR,5,2019-07,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls01LNL888,0,2013-05,Both,0,1,1,0,1,1,1,0,0,,0.0,1.0,1.0,0.0,98.0,"forest, yard",100.0,0,0,0,0,
grls01LNL888,1,2014-09,Both,0,1,1,0,1,0,0,1,1,unspecified bedroom flooring,0.0,0.0,1.0,0.0,99.0,"forest, pond or lake, trails, yard",100.0,0,0,1,1,"carpet, dog bed"
grls01LNL888,2,2015-10,Both,0,1,1,0,1,1,0,1,0,,0.0,0.0,0.0,0.0,100.0,"forest, open space",100.0,1,1,1,0,
grls01LNL888,3,2016-10,Both,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,100.0,"beach, kennel, pond or lake, trails, yard",100.0,1,1,1,0,
grls01LNL888,4,2017-10,Both,0,1,1,0,1,1,0,1,1,"tile, rug",0.0,0.0,5.0,0.0,95.0,"deck, trails, yard",100.0,1,1,1,0,
grls01LNL888,5,2018-10,Both,0,1,1,0,1,0,0,1,0,,0.0,0.0,20.0,0.0,80.0,"forest, open space, trails, yard",100.0,1,1,1,0,
grls01LNL888,6,2019-10,Both,0,1,1,0,1,0,0,1,0,,0.0,0.0,10.0,0.0,90.0,"beach, trails, yard",100.0,1,1,1,0,
grls01RDAKNN,0,2014-11,Indoors,0,1,1,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01RDAKNN,1,2016-01,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01RDAKNN,2,2017-01,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01RDAKNN,3,2018-01,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01RDAKNN,4,2018-12,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls01RDAKNN,5,2019-12,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls020IW1ZZ,0,2015-01,Both,0,0,1,0,1,0,1,1,1,rug,0.0,0.0,0.0,0.0,100.0,"driveway, porch, yard",100.0,0,0,0,0,
grls020IW1ZZ,1,2016-01,Both,0,0,1,0,1,0,0,1,0,,0.0,0.0,0.0,1.0,99.0,farm/pasture,100.0,0,1,0,0,
grls020IW1ZZ,2,2017-01,Both,0,0,1,0,0,0,0,1,0,,0.0,0.0,0.0,3.0,97.0,"free roam of property, pond or lake, unfenced yard",100.0,0,1,0,0,
grls020IW1ZZ,3,2018-02,Both,0,0,1,0,1,0,0,1,0,,0.0,0.0,0.0,1.0,99.0,yard,100.0,0,1,0,0,
grls020IW1ZZ,4,2019-01,Both,0,0,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,100.0,"porch, yard",100.0,0,1,0,0,
grls020IW1ZZ,5,2020-01,Both,0,0,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,100.0,yard,100.0,0,1,0,0,
grls02RRJK88,0,2013-05,Both,1,1,1,0,1,0,0,0,0,,5.0,5.0,90.0,0.0,0.0,,100.0,0,0,0,0,
grls02RRJK88,1,2014-10,Outdoors,0,0,0,0,0,0,0,0,0,,25.0,0.0,75.0,0.0,0.0,,100.0,0,0,0,0,
grls02RRJK88,2,2015-07,Outdoors,0,0,0,0,0,0,0,0,0,,50.0,0.0,50.0,0.0,0.0,,100.0,0,0,0,0,
grls02RRJK88,4,2017-07,Outdoors,0,0,0,0,0,0,0,0,0,,5.0,5.0,90.0,0.0,0.0,,100.0,0,0,0,0,
grls02VDCV99,0,2012-09,Both,0,1,1,0,1,1,1,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls02VDCV99,1,2014-01,Indoors,0,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls02VDCV99,2,2015-01,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls02VDCV99,3,2016-01,Both,0,1,0,0,1,0,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,1,0,1,0,
grls02VDCV99,4,2017-01,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls02VDCV99,5,2018-01,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls02VDCV99,6,2019-01,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls02VDCV99,7,2020-01,Indoors,0,1,0,0,1,0,0,1,1,vinyl,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls03L3L1FF,0,2013-10,Indoors,1,1,0,0,1,1,1,1,1,laminate,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03L3L1FF,1,2014-12,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03MTKHLL,0,2014-02,Indoors,0,1,0,0,0,0,1,1,1,x-pen,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03MTKHLL,1,2015-04,Indoors,0,1,1,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grls03MTKHLL,2,2016-03,Indoors,0,1,1,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls03MTKHLL,3,2017-03,Indoors,0,1,1,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls03MTKHLL,4,2018-04,Indoors,0,1,1,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls03MTKHLL,5,2019-03,Indoors,0,1,1,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grls03MTKHLL,6,2020-03,Indoors,0,1,1,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls03UREW44,0,2014-04,Indoors,0,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03UREW44,1,2015-06,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03UREW44,2,2016-05,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03UREW44,4,2018-05,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls03UREW44,5,2019-06,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grls0449M0EE,0,2013-11,Both,0,1,0,0,1,0,1,0,0,,25.0,0.0,0.0,0.0,75.0,yard,100.0,0,0,0,0,
grls04DN2S55,0,2014-10,Both,1,0,1,0,0,1,1,0,0,,0.0,0.0,0.0,20.0,80.0,free roam of property,100.0,0,0,0,0,
grls04DN2S55,1,2015-11,Both,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,2.0,98.0,farm/pasture,100.0,0,0,0,0,
grls04DN2S55,3,2017-12,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04DN2S55,4,2018-12,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04KX35EE,0,2012-12,Indoors,0,0,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04KX35EE,1,2013-11,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04KX35EE,2,2014-12,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04KX35EE,3,2015-12,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls04KX35EE,4,2016-12,Indoors,0,0,0,0,1,0,0,1,1,"couch, dog bed",0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls04KX35EE,5,2017-12,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls04KX35EE,6,2018-12,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls04KX35EE,7,2019-12,Indoors,0,0,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04O1IQ00,0,2014-11,Both,1,1,1,0,1,1,1,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls04O1IQ00,1,2015-10,Both,0,1,0,0,1,0,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,1,0,
grls04O1IQ00,2,2016-10,Indoors,1,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grls04O1IQ00,3,2017-10,Indoors,0,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls04O1IQ00,4,2018-10,Both,0,1,1,0,1,1,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,1,1,1,0,
grls04O1IQ00,5,2019-10,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grls053MV8EE,0,2014-01,Both,0,0,1,0,1,1,0,0,0,,0.0,40.0,10.0,0.0,50.0,"car or truck, kennel",100.0,0,0,0,0,
grls056TCYEE,0,2014-10,Indoors,0,1,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls05BPCYNN,0,2013-09,Both,1,0,1,1,1,0,1,0,0,,0.0,25.0,70.0,5.0,0.0,,100.0,0,0,0,0,
grls05BPCYNN,1,2014-09,Indoors,0,0,1,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls05BPCYNN,2,2015-09,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls05BPCYNN,3,2016-09,Indoors,0,0,1,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls05BPCYNN,4,2017-09,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls05BPCYNN,5,2018-09,Both,0,0,1,0,1,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls05BPCYNN,6,2019-11,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls06YF0BSS,0,2013-05,Both,1,0,1,0,1,1,0,0,0,,0.0,10.0,70.0,20.0,0.0,,100.0,0,0,0,0,
grls06YF0BSS,1,2014-02,Indoors,0,1,0,1,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls06YF0BSS,2,2015-05,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls06YF0BSS,3,2016-05,Both,0,1,1,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls06YF0BSS,4,2017-06,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls06YF0BSS,5,2018-04,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grls06YF0BSS,6,2019-04,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls06YF0BSS,7,2020-05,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls0762M2FF,0,2014-05,Indoors,1,0,0,0,1,0,1,1,1,"hardwood, rug",0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls0762M2FF,1,2015-05,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,
grls0762M2FF,2,2016-06,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,
grls0762M2FF,3,2017-05,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grls0762M2FF,4,2018-05,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls0762M2FF,5,2019-06,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls08SO0S44,0,2015-01,Indoors,1,0,1,0,0,0,1,1,1,dog bed,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls08SO0S44,1,2016-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls08SO0S44,2,2017-01,Both,1,0,1,0,0,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grls08SO0S44,3,2018-01,Both,0,0,1,0,0,0,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,0,0,
grls08SO0S44,4,2019-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls08SO0S44,5,2020-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls09FYB3II,0,2014-08,Both,1,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,5.0,95.0,"forest, open space",100.0,0,0,0,0,
grls09FYB3II,1,2015-10,Indoors,1,1,1,0,1,1,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grls09FYB3II,2,2016-10,Both,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,100.0,"forest, unfenced yard",100.0,0,0,0,0,
grls09FYB3II,3,2017-10,Indoors,0,1,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls09FYB3II,4,2018-10,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls09FYB3II,5,2019-10,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grls09ZIN1OO,0,2015-01,Indoors,0,0,0,0,0,0,0,1,1,"hardwood, rug",0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grls09ZIN1OO,1,2015-12,Both,0,1,1,0,0,0,0,1,0,,0.0,0.0,90.0,0.0,10.0,walks,100.0,0,1,1,0,
grls09ZIN1OO,2,2017-01,Both,0,1,1,0,0,0,0,0,1,rubber,0.0,0.0,90.0,0.0,10.0,walks,100.0,0,0,0,0,
grls09ZIN1OO,3,2017-12,Both,0,1,1,0,0,0,0,0,1,rubber,0.0,0.0,90.0,0.0,10.0,walks,100.0,0,0,0,0,
grls09ZIN1OO,4,2018-12,Both,0,1,1,0,0,0,0,1,0,,0.0,0.0,90.0,10.0,0.0,,100.0,0,1,0,0,
grls09ZIN1OO,5,2019-12,Both,0,1,1,0,0,0,0,1,0,,0.0,0.0,90.0,0.0,10.0,car or truck,100.0,0,1,1,0,
grls0B5181FF,0,2014-04,Indoors,0,1,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
