subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls01C2L8RR,0,2014-08,VA,3.0,June,0,0,0,other (possibly kennel),Unknown,,US,South
grls01C2L8RR,4,2018-08,NC,2.0,August,1,6.0,5.0,other,Car,,US,South
grls01C2L8RR,4,2018-08,NC,0,,1,6.0,5.0,other,Unknown,,US,South
grls01C2L8RR,4,2018-08,CT,2.0,August,1,6.0,5.0,work,Car,,US,Northeast
grls01C2L8RR,4,2018-08,CT,0,,1,6.0,5.0,work,Unknown,,US,Northeast
grls01C2L8RR,5,2019-07,CT,0,,1,5.0,5.0,work,Unknown,,US,Northeast
grls01C2L8RR,5,2019-07,CT,0,,1,5.0,5.0,work,Unknown,,US,Northeast
grls01C2L8RR,6,2020-08,CT,1.5,April,0,0,0,other,Car,,,
grls01C2L8RR,6,2020-08,CT,0,,1,6,1,work,Unknown,,,
grls01C2L8RR,7,2021-08,CT,3,January,0,0,0,other,Car,,,
grls01C2L8RR,7,2021-08,CT,0,,1,6,2,work,Unknown,,,
grls01LNL888,2,2015-10,MT,13.0,May,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls01RDAKNN,0,2014-11,NY,16.0,May,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls01RDAKNN,7,2021-12,SC,20,May,0,0,0,other,Car,,,
grls020IW1ZZ,0,2015-01,NJ,7.0,July,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls020IW1ZZ,1,2016-01,NJ,2.0,February,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls020IW1ZZ,1,2016-01,NJ,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls020IW1ZZ,1,2016-01,NJ,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls020IW1ZZ,1,2016-01,NJ,1.0,November,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls02RRJK88,1,2014-10,CO,1.0,July,0,0,0,other (possibly kennel),Unknown,,US,Mountain
