subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice
grls06YF0BSS,0,2013-05,wild mushroom - unspecified,1,0
grls06YF0BSS,3,2016-05,fertilizer,1,0
grls08SO0S44,0,2015-01,mace,1,0
grls0CXB5W99,2,2017-01,rhubarb,1,0
grls0D8TYTHH,0,2013-12,unknown flower,1,0
grls0D8TYTHH,1,2015-02,wild mushroom - unspecified,1,0
grls0EZB9OCC,0,2012-09,medication - overdose prednisone (20mg x 20),1,0
grls0HAV8G99,4,2018-07,tape,1,0
grls0MWS6OMM,0,2013-09,unknown,1,0
grls0NOGYCWW,6,2019-11,rodent poison,1,0
grls0RIBHKKK,0,2014-04,adhesive putty,1,0
grls0SITE9YY,0,2013-11,rocks,1,0
grls0TA2I2SS,5,2019-11,"lanolin stain, latex",1,0
grls0U11TOTT,0,2014-10,chocolate,1,0
grls0VWS5ZPP,0,2014-05,medication - rimadyl,1,0
grls0WMXEHYY,0,2013-01,wild mushroom - unspecified,1,0
grls0XFD2S00,0,2014-09,clothing - glove,1,0
grls0XFD2S00,1,2015-09,"clothing - glove, clothing - suede shoe, tennis ball",1,1
grls0XFD2S00,3,2017-10,daylilies,1,0
grls0XFD2S00,4,2018-10,plastic,1,0
grls0XFD2S00,5,2019-10,"raisins, daylilies",1,0
grls0YCT0XEE,0,2014-11,"fitbit, xylitol",1,0
grls0YYYJPBB,1,2015-06,medication - cymbalta (30mg),1,0
grls0YYYJPBB,2,2016-07,medication - cymbalta,1,1
grls0Z1UD211,2,2015-05,raisins,1,0
grls0Z1UD211,3,2016-05,medication - previcox,1,0
grls10PF8W99,2,2016-10,rodent poison,1,0
grls12ZDDU,0,2013-09,fabric,1,0
grls15TTBZKK,0,2014-10,toad,1,0
grls16FL8Z00,1,2015-09,medication - thyroid medication,1,0
grls19LCJPHH,3,2018-01,"flash drive, hair brush",1,0
grls1CJ7JS99,2,2015-09,binder,1,0
grls1EYF5OII,0,2014-12,medication - aspirin,1,0
grls1FWHZ3JJ,0,2014-01,tomatoes,1,0
grls1FWHZ3JJ,2,2016-01,chocolate cookies,1,0
grls1JWEEY,0,2012-05,bandage,1,0
grls1JWEEY,7,2019-08,battery,1,0
grls1K7T6888,1,2014-03,wild mushroom - unspecified,1,0
grls1M18GUHH,0,2014-06,"medication - birth control, insect poison",1,0
grls1N26R7HH,3,2016-05,plastic,1,0
grls1N8O3I33,3,2018-01,yarrow,1,0
grls1N8O3I33,4,2019-02,yarrow,1,0
grls1N8O3I33,6,2021-01,yarrow,1,0
grls1OSZNF11,3,2018-01,chocolate,1,0
grls1OSZNF11,7,2022-01,rodent poison,1,0
grls1THP76HH,4,2018-06,stagnant water,1,0
grls1THP76HH,5,2019-06,lantana,1,0
grls1THP76HH,6,2020-06,lantana,1,0
grls1U964W33,0,2014-06,rodent poison,1,0
grls20EDCSKK,4,2016-12,paint roller with paint,1,0
grls221X4400,0,2014-12,medication - mirvaso,1,0
grls2D58M5PP,5,2019-03,chocolate,1,0
grls2E2MQW66,1,2014-02,wild mushroom - unspecified,1,0
grls2H94VG00,0,2013-01,medication - pet medication,1,0
grls2IYOWC33,0,2014-12,rodent poison,1,0
grls2KOUK9KK,5,2019-07,insect poison,1,0
grls2ME5U9UU,0,2014-06,"clothing - hat, clothing - sock",1,0
grls2QGPBUII,3,2016-02,battery,1,0
grls2RMKS800,0,2013-02,"gel shoe insert, watch",1,0
grls2RMKS800,4,2017-03,raisins,1,0
grls33E7KL55,1,2014-02,fire starter,1,0
grls35DUY0ZZ,1,2015-11,wood - driftwood,1,0
grls35EKPBEE,0,2013-04,makeup,1,0
grls35KUFL66,0,2014-01,rodent poison,1,0
grls35S9K3WW,1,2013-09,"leash, paper towels",1,0
grls38SUGH66,5,2019-02,medication - seresto collar,1,0
grls39GQY988,0,2013-06,medication - soloxine,1,0
grls39GQY988,4,2018-01,plastic,1,0
grls3D2HW755,0,2013-12,"brillo pad, wild mushroom - puffball",1,1
grls3D2HW755,1,2015-01,plastic,1,0
grls3DZD6FPP,1,2014-05,clothing - sock,1,0
grls3ECNOHBB,4,2019-01,coffee,1,0
grls3GG6Z3GG,0,2014-04,corn cob,1,0
grls3HHDXHWW,0,2014-02,deodorant,1,0
grls3I0FFJ77,1,2014-03,fiberglass insulation,1,0
