subject_id,year_in_study,record_date,any_vaccine,administered,type,type_other_specify
grls007MPNZZ,0,2014-06,1,2013-08,rabies (1 year),
grls007MPNZZ,0,2014-06,1,2013-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,0,2014-06,1,2013-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,0,2014-06,1,2013-06,bordetella bronchiseptica,
grls007MPNZZ,0,2014-06,1,2013-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,0,2014-06,1,2013-07,borrelia burgdorferi,
grls007MPNZZ,0,2014-08,1,2014-08,rabies (1 year),
grls007MPNZZ,0,2014-08,1,2014-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,0,2014-08,1,2014-08,bordetella bronchiseptica,
grls007MPNZZ,0,2014-08,1,2014-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,0,2014-08,1,2014-08,borrelia burgdorferi,
grls007MPNZZ,1,2015-08,1,2015-08,rabies (1 year),
grls007MPNZZ,1,2015-08,1,2015-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,1,2015-08,1,2015-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,1,2015-08,1,2015-08,borrelia burgdorferi,
grls007MPNZZ,1,2015-08,1,2015-08,bordetella bronchiseptica,
grls007MPNZZ,2,2016-08,1,2016-08,rabies (1 year),
grls007MPNZZ,2,2016-08,1,2016-08,bordetella bronchiseptica,
grls007MPNZZ,2,2016-08,1,2016-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,2,2016-08,1,2016-08,borrelia burgdorferi,
grls007MPNZZ,3,2017-05,1,2016-08,bordetella bronchiseptica,
grls007MPNZZ,3,2017-05,1,2016-08,rabies (1 year),
grls007MPNZZ,3,2017-05,1,2016-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,3,2017-05,1,2016-08,borrelia burgdorferi,
grls007MPNZZ,4,2018-05,1,,rabies (1 year),
grls007MPNZZ,4,2018-05,1,,bordetella bronchiseptica,
grls007MPNZZ,4,2018-05,1,,borrelia burgdorferi,
grls007MPNZZ,4,2018-05,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,4,2018-05,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,5,2019-06,1,,rabies (3 year),
grls007MPNZZ,5,2019-06,1,,borrelia burgdorferi,
grls007MPNZZ,5,2019-06,1,,bordetella bronchiseptica,
grls007MPNZZ,5,2019-06,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,6,2020-06,1,,bordetella bronchiseptica,
grls007MPNZZ,6,2020-06,1,,borrelia burgdorferi,
grls007MPNZZ,6,2020-06,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,7,2021-06,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls007MPNZZ,7,2021-06,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls007MPNZZ,7,2021-06,1,,borrelia burgdorferi,
grls007MPNZZ,7,2021-06,1,,bordetella bronchiseptica,
grls007MPNZZ,8,2022-06,1,,rabies (3 year),
grls007MPNZZ,8,2022-06,1,,bordetella bronchiseptica,
grls007MPNZZ,8,2022-06,1,,borrelia burgdorferi,
grls007MPNZZ,8,2022-06,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls00NB23WW,0,2014-01,1,2014-01,bordetella bronchiseptica,
grls00NB23WW,0,2014-01,1,2013-06,borrelia burgdorferi,
